"title","code","actualCostPeriod","actualCost"
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",0,0
"04 BUILD","04",1750,1750
"04 BUILD","04",0,1750
"04 BUILD","04",0,1750
"04 BUILD","04",0,1750
"04 BUILD","04",0,1750
"04 BUILD","04",0,1750
"04 BUILD","04",267.04,2017.04
"04 BUILD","04",166.9,2183.94
"04 BUILD","04",660.31,2844.25
"04 BUILD","04",231.11,3075.36
"04 BUILD","04",297.14,3372.5
"04 BUILD","04",462.21,3834.71
"04 BUILD","04",297.15,4131.86
"04 BUILD","04",297.14,4429
"04 BUILD","04",198.09,4627.09
"04 BUILD","04",66.03,4693.12
"04 BUILD","04",330.15,5023.27
"04 BUILD","04",0,5023.27
"04 BUILD","04",0,5023.27
"04 BUILD","04",0,5023.27
"04 BUILD","04",66.03,5089.3
"04 BUILD","04",44671.77,49761.07
"04 BUILD","04",0,49761.07
"04 BUILD","04",0,49761.07
"04 BUILD","04",0,49761.07
"04 BUILD","04",0,49761.07
"04 BUILD","04",0,49761.07
"04 BUILD","04",35467.27,85228.34
"04 BUILD","04",172483.64,257711.98
"04 BUILD","04",99586.44,357298.42
"04 BUILD","04",96642.21,453940.63
"04 BUILD","04",254325.89,708266.52
"04 BUILD","04",113296.53,821563.05
"04 BUILD","04",197863.09,1019426.14
"04 BUILD","04",155542.4,1174968.54
"04 BUILD","04",1501693.34,2676661.88
"04 BUILD","04",1370022.1,4046683.98
"04 BUILD","04",945179.65,4991863.63
"04 BUILD","04",946709.03,5938572.66
"04 BUILD","04",802632.78,6741205.44
"04 BUILD","04",987111.31,7772457.64
"04 BUILD","04",741992.33,8514449.97
"04 BUILD","04",1344814.22,9859264.19
"04 BUILD","04",1610342.1,11481571.29
"04 BUILD","04",1180655.26,12662226.55
"04 BUILD","04",1215213.6,13877440.15
"04 BUILD","04",2682685.16,17298378.23
"04 BUILD","04",2147552.38,19445930.61
"04 BUILD","04",4415604,24391043.61
"04 BUILD","04",4236865.66,28627909.27
"04 BUILD","04",3462654.92,32090564.19
"04 BUILD","04",4128509.26,36219073.45
"04 BUILD","04",3732603.6,39951677.05
"04 BUILD","04",2009633.32,41972815.74
"04 BUILD","04",3464554.61,45437370.35
"04 BUILD","04",4471951.62,49909321.97
"04 BUILD","04",4014860.03,53924182
"04 BUILD","04",3229215.88,57153397.88
"04 BUILD","04",4073123.69,61226521.57
"04 BUILD","04",4225686.6,65452208.17
"04 BUILD","04",217537.97,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
"04 BUILD","04",0,65669746.14
