"title","code","actualCostPeriod","actualCost"
"01 CONCEPT","01",124.52,124.52
"01 CONCEPT","01",1620.84,1745.36
"01 CONCEPT","01",1727.83,3473.19
"01 CONCEPT","01",10374.5,13847.69
"01 CONCEPT","01",4468.27,18315.96
"01 CONCEPT","01",6047.1,24363.06
"01 CONCEPT","01",5336.76,29699.82
"01 CONCEPT","01",2337.55,32037.37
"01 CONCEPT","01",9572.39,41609.76
"01 CONCEPT","01",18934.8,60544.56
"01 CONCEPT","01",262.91,60807.47
"01 CONCEPT","01",759.29,61566.76
"01 CONCEPT","01",6856.75,68423.51
"01 CONCEPT","01",18857.45,87280.96
"01 CONCEPT","01",24594.81,111875.77
"01 CONCEPT","01",556172.59,668048.36
"01 CONCEPT","01",482296.42,1150344.78
"01 CONCEPT","01",79786.85,1230131.63
"01 CONCEPT","01",9029.92,1239161.55
"01 CONCEPT","01",299300.33,1538461.88
"01 CONCEPT","01",20224.94,1558686.82
"01 CONCEPT","01",10228.36,1568915.18
"01 CONCEPT","01",6035.04,1574950.22
"01 CONCEPT","01",15267.5,1590217.72
"01 CONCEPT","01",20120.43,1610338.15
"01 CONCEPT","01",7590.96,1617929.11
"01 CONCEPT","01",10677.23,1628606.34
"01 CONCEPT","01",87029.91,1715636.25
"01 CONCEPT","01",24237.51,1739873.76
"01 CONCEPT","01",11448.16,1751321.92
"01 CONCEPT","01",4325.05,1755646.97
"01 CONCEPT","01",29690.24,1785337.21
"01 CONCEPT","01",11350.39,1796687.6
"01 CONCEPT","01",175968.77,1972656.37
"01 CONCEPT","01",800,1973456.37
"01 CONCEPT","01",6344,1979800.37
"01 CONCEPT","01",-170668.77,1809131.6
"01 CONCEPT","01",5594.35,1814725.95
"01 CONCEPT","01",332145,2146870.95
"01 CONCEPT","01",17147.94,2164018.89
"01 CONCEPT","01",33993.12,2198012.01
"01 CONCEPT","01",1831.67,2199843.68
"01 CONCEPT","01",9349.45,2209193.13
"01 CONCEPT","01",5143.29,2214336.42
"01 CONCEPT","01",5698.61,2220035.03
"01 CONCEPT","01",27471.65,2247506.68
"01 CONCEPT","01",22339.59,2269846.27
"01 CONCEPT","01",-17138.62,2252707.65
"01 CONCEPT","01",0,2252707.65
"01 CONCEPT","01",5200.97,2257908.62
"01 CONCEPT","01",0,2257908.62
"01 CONCEPT","01",0,2257908.62
"01 CONCEPT","01",5272.29,2263180.91
"01 CONCEPT","01",0,2263180.91
"01 CONCEPT","01",0,2263180.91
"01 CONCEPT","01",0,2263180.91
"01 CONCEPT","01",0,2263180.91
"01 CONCEPT","01",53.39,2263234.3
"01 CONCEPT","01",0,2263234.3
"01 CONCEPT","01",0,2263234.3
"01 CONCEPT","01",14770.64,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",0,2278004.94
"01 CONCEPT","01",769.54,2278774.48
"01 CONCEPT","01",0,2278774.48
