"title","code","actualCostPeriod","actualCost"
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",55993.75,55993.75
"03 DETAILED DESIGN","03",0,55993.75
"03 DETAILED DESIGN","03",11211.21,67204.96
"03 DETAILED DESIGN","03",48773.5,115978.46
"03 DETAILED DESIGN","03",11613.5,127591.96
"03 DETAILED DESIGN","03",0,127591.96
"03 DETAILED DESIGN","03",4943.74,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",0,132535.7
"03 DETAILED DESIGN","03",1903.88,134439.58
"03 DETAILED DESIGN","03",4540.13,138979.71
"03 DETAILED DESIGN","03",1758.75,140738.46
"03 DETAILED DESIGN","03",81186.79,221925.25
"03 DETAILED DESIGN","03",0,221925.25
"03 DETAILED DESIGN","03",4295,226220.25
"03 DETAILED DESIGN","03",3013.9,229234.15
"03 DETAILED DESIGN","03",0,229234.15
"03 DETAILED DESIGN","03",64176.71,293410.86
"03 DETAILED DESIGN","03",322374.38,615785.24
"03 DETAILED DESIGN","03",19973.15,635758.39
"03 DETAILED DESIGN","03",-268452.09,367306.3
"03 DETAILED DESIGN","03",22721.28,390027.58
"03 DETAILED DESIGN","03",362264.08,752291.66
"03 DETAILED DESIGN","03",202803.45,955095.11
"03 DETAILED DESIGN","03",170217.94,1125313.05
"03 DETAILED DESIGN","03",-135243.93,990069.12
"03 DETAILED DESIGN","03",242834.48,1232903.6
"03 DETAILED DESIGN","03",305317.4,1538221
"03 DETAILED DESIGN","03",89866.64,1628087.64
"03 DETAILED DESIGN","03",146791.22,1774878.86
"03 DETAILED DESIGN","03",11018.93,1785897.79
"03 DETAILED DESIGN","03",28751.58,1814649.37
"03 DETAILED DESIGN","03",66619.44,1881268.81
"03 DETAILED DESIGN","03",38255.66,1919524.47
"03 DETAILED DESIGN","03",55166.41,1974690.88
"03 DETAILED DESIGN","03",1082385.45,3057076.33
"03 DETAILED DESIGN","03",43517.74,3100594.07
"03 DETAILED DESIGN","03",-24615.58,3075978.49
"03 DETAILED DESIGN","03",461450.49,3537428.98
"03 DETAILED DESIGN","03",610837.03,4148266.01
"03 DETAILED DESIGN","03",223149.23,4371415.24
"03 DETAILED DESIGN","03",620534.84,4991950.08
"03 DETAILED DESIGN","03",86833.83,5078783.91
"03 DETAILED DESIGN","03",161289.11,5240073.02
"03 DETAILED DESIGN","03",428300.64,5668373.66
"03 DETAILED DESIGN","03",19792.26,5688165.92
"03 DETAILED DESIGN","03",1141402.8,6829568.72
"03 DETAILED DESIGN","03",374658.07,7204226.79
"03 DETAILED DESIGN","03",5440.44,7209667.23
"03 DETAILED DESIGN","03",439710.24,7649377.47
"03 DETAILED DESIGN","03",8922.65,7658300.12
"03 DETAILED DESIGN","03",182587.84,7840887.96
"03 DETAILED DESIGN","03",59909.49,7900797.45
"03 DETAILED DESIGN","03",27144.05,7927941.5
"03 DETAILED DESIGN","03",5542.26,7933483.76
"03 DETAILED DESIGN","03",653181.37,8586665.13
"03 DETAILED DESIGN","03",297611.92,8884277.05
"03 DETAILED DESIGN","03",9037.76,8893314.81
"03 DETAILED DESIGN","03",102193.22,8995508.03
"03 DETAILED DESIGN","03",7758.74,9003266.77
"03 DETAILED DESIGN","03",0,9003266.77
"03 DETAILED DESIGN","03",0,9003266.77
"03 DETAILED DESIGN","03",0,9003266.77
"03 DETAILED DESIGN","03",0,9003266.77
"03 DETAILED DESIGN","03",0,9003266.77
"03 DETAILED DESIGN","03",445.78,9003712.55
"03 DETAILED DESIGN","03",65447.06,9069159.61
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
"03 DETAILED DESIGN","03",0,0
