"name","code","plannedCost","periods","actualCostPeriod"
"Environmental Engineering","04-01-10-03",3653.37,62,267.04
"Environmental Engineering","04-01-10-03",3653.37,63,166.9
"Environmental Engineering","04-01-10-03",3653.37,64,660.31
"Environmental Engineering","04-01-10-03",3653.37,65,231.11
"Environmental Engineering","04-01-10-03",3653.37,66,297.14
"Environmental Engineering","04-01-10-03",3653.37,67,462.21
"Environmental Engineering","04-01-10-03",3653.37,68,297.15
"Environmental Engineering","04-01-10-03",3653.37,69,297.14
"Environmental Engineering","04-01-10-03",3653.37,70,198.09
"Environmental Engineering","04-01-10-03",3653.37,71,66.03
"Environmental Engineering","04-01-10-03",3653.37,72,330.15
"LAND CONSOLIDATION","06-07-17-01",8346,72,2353
"LAND CONSOLIDATION","06-07-17-01",8346,73,-1008
"LAND CONSOLIDATION","06-07-17-01",8346,75,2828
"Environmental Engineering","04-01-10-03",3653.37,76,66.03
"Rosenthal Lots - Ph. I ESA","06-07-17-02",6062.23,76,6062.23
"EcoAmmo","04-02-05-06-01",44671.77,77,44671.77
"Project Management Lead Revalidation","04-01-01-01",230631.59,83,5984.85
"Project Management Support Revalidation","04-01-01-02",489669.35,83,4991.65
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,83,1980.91
"FPD Project Support Revalidation","04-01-01-04",44738.26,83,885.63
"Facility Engineering Revalidation","04-01-10-01",82117.33,83,174.74
"Geotechnical Engineering","04-01-10-02",17659.95,83,349.49
"Project Management Lead Revalidation","04-01-01-01",230631.59,84,5242.2
"Project Management Support Revalidation","04-01-01-02",489669.35,84,5346.19
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,84,2740.25
"FPD Project Support Revalidation","04-01-01-04",44738.26,84,644.09
"Landscape Architect","04-01-01-11",28634.69,84,132.06
"Facility Engineering Revalidation","04-01-10-01",82117.33,84,161.02
"Geotechnical Engineering","04-01-10-02",17659.95,84,595.12
"Project Management Lead Revalidation","04-01-01-01",230631.59,85,6989.6
"Project Management Support Revalidation","04-01-01-02",489669.35,85,8433.8
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,85,2112.97
"FPD Project Support Revalidation","04-01-01-04",44738.26,85,1020.11
"Facility Engineering Revalidation","04-01-10-01",82117.33,85,174.74
"Geotechnical Engineering","04-01-10-02",17659.95,85,696.08
"Project Management Lead Revalidation","04-01-01-01",230631.59,86,6902.23
"Project Management Support Revalidation","04-01-01-02",489669.35,86,9195.45
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,86,2311.05
"FPD Project Support Revalidation","04-01-01-04",44738.26,86,1678.83
"Facility Engineering Revalidation","04-01-10-01",82117.33,86,489.93
"Project Management Lead Revalidation","04-01-01-01",230631.59,87,4455.87
"Project Management Support Revalidation","04-01-01-02",489669.35,87,15166.57
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,87,2410.13
"FPD Project Support Revalidation","04-01-01-04",44738.26,87,2071.99
"Facility Engineering Revalidation","04-01-10-01",82117.33,87,416.27
"Geotechnical Engineering","04-01-10-02",17659.95,87,349.49
