"title","code","actualCostPeriod","actualCost"
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",0,0
"99 UNALLOCATED","99",61.25,61.25
"99 UNALLOCATED","99",0,61.25
"99 UNALLOCATED","99",0,61.25
"99 UNALLOCATED","99",0,61.25
"99 UNALLOCATED","99",0,61.25
"99 UNALLOCATED","99",0,61.25
"99 UNALLOCATED","99",9.35,70.6
"99 UNALLOCATED","99",5.84,76.44
"99 UNALLOCATED","99",23.11,99.55
"99 UNALLOCATED","99",8.09,107.64
"99 UNALLOCATED","99",10.4,118.04
"99 UNALLOCATED","99",16.18,134.22
"99 UNALLOCATED","99",10.4,144.62
"99 UNALLOCATED","99",10.4,155.02
"99 UNALLOCATED","99",6.93,161.95
"99 UNALLOCATED","99",2.31,164.26
"99 UNALLOCATED","99",11.56,175.82
"99 UNALLOCATED","99",0,175.82
"99 UNALLOCATED","99",0,175.82
"99 UNALLOCATED","99",0,175.82
"99 UNALLOCATED","99",214.49,390.31
"99 UNALLOCATED","99",0,390.31
"99 UNALLOCATED","99",0,390.31
"99 UNALLOCATED","99",0,390.31
"99 UNALLOCATED","99",0,390.31
"99 UNALLOCATED","99",146.06,536.37
"99 UNALLOCATED","99",0,536.37
"99 UNALLOCATED","99",502.86,1039.23
"99 UNALLOCATED","99",520.14,1559.37
"99 UNALLOCATED","99",679.96,2239.33
"99 UNALLOCATED","99",720.22,2959.55
"99 UNALLOCATED","99",2061.18,5020.73
"99 UNALLOCATED","99",1013.88,6034.61
"99 UNALLOCATED","99",1642.7,7677.31
"99 UNALLOCATED","99",1644.45,9321.76
"99 UNALLOCATED","99",3069.51,12391.27
"99 UNALLOCATED","99",4755.48,17146.75
"99 UNALLOCATED","99",58064.23,75210.98
"99 UNALLOCATED","99",21060.49,96271.47
"99 UNALLOCATED","99",92413.63,188685.1
"99 UNALLOCATED","99",7462.46,196147.56
"99 UNALLOCATED","99",48593.55,244741.11
"99 UNALLOCATED","99",15614.34,260355.45
"99 UNALLOCATED","99",14719.25,275074.7
"99 UNALLOCATED","99",125371.92,400446.62
"99 UNALLOCATED","99",39051.62,439498.24
"99 UNALLOCATED","99",23955.71,472874.15
"99 UNALLOCATED","99",206753.55,679627.7
"99 UNALLOCATED","99",98435.9,778063.6
"99 UNALLOCATED","99",81657.78,859721.38
"99 UNALLOCATED","99",253117.35,1112838.73
"99 UNALLOCATED","99",119489.9,1232328.63
"99 UNALLOCATED","99",18130.67,1250459.3
"99 UNALLOCATED","99",122787.23,1373246.53
"99 UNALLOCATED","99",61182.86,1434433.86
"99 UNALLOCATED","99",99893.88,1534327.74
"99 UNALLOCATED","99",100734,1635061.74
"99 UNALLOCATED","99",152031.19,1787092.93
"99 UNALLOCATED","99",102046.94,1889139.87
"99 UNALLOCATED","99",164830.89,2053970.76
"99 UNALLOCATED","99",248930.44,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
"99 UNALLOCATED","99",0,2302901.2
